What are the Seven Wonders of the Ancient World?,"The Seven Wonders of the Ancient World are a list of remarkable constructions of classical antiquity, celebrated for their architectural and artistic achievements."
Who compiled the list of the Seven Wonders of the Ancient World?,The list of the Seven Wonders of the Ancient World was compiled by various ancient Greek writers and historians.
How many of the Seven Wonders of the Ancient World still exist today?,"Only one of the Seven Wonders of the Ancient World, the Great Pyramid of Giza, still exists in relatively good condition today."
What is the Great Pyramid of Giza?,"The Great Pyramid of Giza is a massive pyramid located in Egypt, built as a tomb for the Pharaoh Khufu."
What is the Mausoleum at Halicarnassus known for?,"The Mausoleum at Halicarnassus is known for being a grand tomb built for Mausolus, a satrap in the Persian Empire."
What was the purpose of the Lighthouse of Alexandria?,"The Lighthouse of Alexandria served as a beacon for sailors, guiding them safely into the harbor of Alexandria, Egypt."
What are the names of the Ancient Wonders of the World?,"They are the Great Pyramid of Giza (Egypt), Hanging Gardens of Babylon (Iraq), Statue of Zeus at Olympia (Greece), Temple of Artemis at Ephesus (Turkey), Mausoleum at Halicarnassus (Turkey), Colossus of Rhodes (Greece), and the Lighthouse of Alexandria (Egypt)"
What happened to the Statue of Zeus at Olympia?,The Statue of Zeus at Olympia was destroyed by fire in the 5th century CE.
what is the Hanging Gardens of Babylon?,"The Hanging Gardens of Babylon were the fabled gardens which beautified the capital of the Neo-Babylonian Empire, built by its greatest king Nebuchadnezzar II"
What was the purpose of the Colossus of Rhodes?,The purpose of the Colossus of Rhodes was to serve as a dedication to the sun god Helios and to commemorate Rhodes' victory over Cyprus.
What happened to the Temple of Artemis at Ephesus?,"The Temple of Artemis at Ephesus was destroyed and rebuilt several times throughout its history, with the final destruction occurring in 401 CE by a mob led by St. John Chrysostom."
